,Intensity
-7.86E-05,-0.45490196
2.18E-07,-0.43921569
9.60E-05,0.047058824
0.00036601,-0.58039216
0.0008102,-0.29019608
0.00142856,0.58039216
0.00222112,-2.3843137
0.00318787,-2.3529412
0.00432881,-3.2862745
0.00564393,-3.7647059
0.00713324,-3.6470588
0.00879674,-3.8039216
0.01063443,-3.5529412
0.01264631,-3.8011153
0.01483238,-3.6725759
0.01719263,-0.7124209
0.01972708,4.3185653
0.02243571,9.5772454
0.02531853,6.1459724
0.02837554,3.9384717
0.03160674,7.9665082
0.03501213,2.7712582
0.0385917,-3.6159057
0.04234547,-2.7243952
0.04627342,4.0261818
0.05037556,1.8358252
0.05465189,0.79080968
0.05910241,-0.073570728
0.06372712,-1.0867278
0.06852602,-2.0212105
0.0734991,-1.1201561
0.07864638,6.0164353
0.08396784,10.141505
0.08946349,4.164857
0.09513333,-2.4703717
0.10097736,-3.654377
0.10699557,-3.5753942
0.11318798,-3.5981293
0.11955457,-2.6010135
0.12609535,-0.99189008
0.13281032,-0.31585701
0.13969948,-1.6866398
0.14676283,0.064389007
0.15400037,2.1372294
0.16141209,3.25345
0.16899801,2.4797176
0.17675811,2.2630908
0.1846924,2.1094521
0.19280088,1.767821
0.20108355,-0.071606244
0.20954041,-2.6009866
0.21817145,-1.8516927
0.22697669,0.52137364
0.23595611,1.6319378
0.24510972,1.315294
0.25443752,1.3204618
0.26393951,2.1258725
0.27361569,0.57074195
0.28346605,-1.4312045
0.29349061,-1.5505551
0.30368935,-1.920643
0.31406228,-2.8708802
0.3246094,-3.0051881
0.33533071,-1.7196452
0.34622621,-0.3397417
0.3572959,0.65609105
0.36853977,1.7855001
0.37995783,1.7386815
0.39155009,1.4175961
0.40331653,1.5045968
0.41525716,1.9134091
0.42737197,1.898935
0.43966098,1.8847038
0.45212418,1.839343
0.46476156,1.4569703
0.47757313,0.61209549
0.49055889,0.010600884
0.50371884,-0.37888605
0.51705298,-0.98773786
0.53056131,-0.77281729
0.54424382,-0.3380459
0.55810053,-0.27165901
0.57213142,-0.11875463
0.5863365,-0.42050925
0.60071577,-0.078883641
0.61526923,0.16102415
0.62999688,0.36195922
0.64489871,0.67294118
0.65997473,0.75802425
0.67522495,0.94505434
0.69064935,0.54383537
0.70624794,0.079857543
0.72202072,-0.093937976
0.73796769,-0.45598256
0.75408884,-0.19843306
0.77038419,-0.74874046
0.78685372,-0.067689085
0.80349744,-0.36704363
0.82031535,-0.81543155
0.83730745,0.32048049
0.85447374,-0.44166045
0.87181421,-0.42734456
0.88932888,0.41048696
0.90701773,-0.13993057
0.92488077,0.015520487
0.942918,0.14742836
0.96112942,0.34206757
0.97951503,0.20728125
0.99807483,0.42542234
1.0168088,0.94158888
1.035717,0.5400946
1.0547993,1.2679983
1.0740559,1.1017706
1.0934866,1.0610193
1.1130916,1.5535876
1.1328707,1.1520245
1.152824,1.3700555
1.1729515,0.84297465
1.1932532,0.99823298
1.213729,1.0515168
1.2343791,0.6891005
1.2552033,1.3227489
1.2762018,1.3446188
1.2973744,1.1468672
1.3187212,1.01969
1.3402422,0.75132253
1.3619374,0.90647074
1.3838068,0.65376204
1.4058504,0.81672585
1.4280681,1.0737935
1.4504601,0.94653374
1.4730262,1.038868
1.4957665,0.84883559
1.518681,0.87055411
1.5417697,0.65696473
1.5650326,0.4433616
1.5884697,0.42582312
1.612081,0.10238853
1.6358664,0.069136254
1.6598261,-0.0504043
1.6839599,-0.005252738
1.7082679,0.024198784
1.7327501,0.1712836
1.7574065,0.42815857
1.7822371,0.33992173
1.8072419,0.47912211
1.8324209,0.5712499
1.857774,0.27120707
1.8833013,0.51232693
1.9090029,0.31421735
1.9348786,0.15530968
1.9609285,0.21599609
1.9871526,-0.16254695
2.0135509,0.18046488
2.0401234,0.14699234
2.06687,0.14487859
2.0937909,0.46431971
2.1208859,0.38374705
2.1481551,0.47570965
2.1755985,0.26177613
2.2032161,0.44782885
2.2310079,0.30445603
2.2589739,0.2551871
2.2871141,0.32355146
2.3154285,0.35268637
2.343917,0.31906241
2.3725797,0.29326782
2.4014167,0.31451829
2.4304278,0.32791186
2.4596131,0.40403676
2.4889726,0.3546577
2.5185062,0.36800997
2.5482141,0.44409358
2.5780962,0.34761439
2.6081524,0.37661164
2.6383828,0.17814414
2.6687875,0.16789817
2.6993663,0.1497953
2.7301193,-0.03302722
2.7610465,0.074332572
2.7921478,0.22873742
